,"carne de res, bota",0
2013-01-01,10739.842105263158,
2013-02-01,10744.947368421053,
2013-03-01,11006.0,
2013-04-01,11294.736842105263,
2013-05-01,11411.052631578947,
2013-06-01,11369.684210526315,
2013-07-01,11323.315789473685,
2013-08-01,11320.631578947368,
2013-09-01,11377.21052631579,
2013-10-01,11298.684210526315,
2013-11-01,11288.052631578947,
2013-12-01,11346.842105263158,
2014-01-01,11454.631578947368,
2014-02-01,11445.21052631579,
2014-03-01,11508.947368421053,
2014-04-01,11458.315789473685,
2014-05-01,11675.21052631579,
2014-06-01,11802.78947368421,
2014-07-01,11847.473684210527,
2014-08-01,11850.526315789473,
2014-09-01,11755.684210526315,
2014-10-01,11643.105263157895,
2014-11-01,11626.894736842105,
2014-12-01,11745.157894736842,
2015-01-01,11819.631578947368,
2015-02-01,11864.947368421053,
2015-03-01,11933.157894736842,
2015-04-01,12137.5,
2015-05-01,12047.833333333334,
2015-06-01,12091.277777777777,
2015-07-01,12187.947368421053,
2015-08-01,12266.052631578947,
2015-09-01,12315.0,
2015-10-01,12375.0,
2015-11-01,12382.78947368421,
2015-12-01,12632.21052631579,
2016-01-01,12879.631578947368,
2016-02-01,12906.78947368421,
2016-03-01,12901.894736842105,
2016-04-01,12924.157894736842,
2016-05-01,13228.421052631578,
2016-06-01,13619.263157894737,
2016-07-01,14346.368421052632,
2016-08-01,14005.578947368422,
2016-09-01,13821.684210526315,
2016-10-01,13820.421052631578,
2016-11-01,13860.894736842105,
2016-12-01,13963.65,
2017-01-01,14270.15,
2017-02-01,14440.25,
2017-03-01,14483.2,
2017-04-01,14578.052631578947,
2017-05-01,14548.947368421053,
2017-06-01,14555.684210526315,
2017-07-01,14673.526315789473,
2017-08-01,14745.947368421053,
2017-09-01,14672.263157894737,
2017-10-01,14674.0,
2017-11-01,14737.842105263158,
2017-12-01,14932.78947368421,
2018-01-01,14854.894736842105,
2018-02-01,14828.473684210527,
2018-03-01,14986.277777777777,
2018-04-01,15162.722222222223,
2018-05-01,15209.111111111111,
2018-06-01,15276.388888888889,
2018-07-01,15159.444444444445,
2018-08-01,15149.444444444445,
2018-09-01,15242.166666666666,
2018-10-01,15323.722222222223,
2018-11-01,15257.5,
2018-12-01,15303.70588235294,
2019-01-01,15345.70588235294,
2019-02-01,15330.29411764706,
2019-03-01,15248.111111111111,
2019-04-01,15466.333333333334,
2019-05-01,15707.5,
2019-06-01,15904.5,
2019-07-01,16040.833333333334,
2019-08-01,15908.222222222223,
2019-09-01,15874.722222222223,
2019-10-01,15841.444444444445,
2019-11-01,15822.111111111111,
2019-12-01,15886.166666666666,
2020-01-01,15916.888888888889,
2020-02-01,15823.666666666666,
2020-03-01,15948.111111111111,
2020-04-01,16299.333333333334,
2020-05-01,16195.722222222223,
2020-06-01,16274.222222222223,
2020-07-01,16251.833333333334,
2020-08-01,16322.611111111111,
2020-09-01,16293.833333333334,
2020-10-01,16370.722222222223,
2020-11-01,16521.555555555555,
2020-12-01,16768.833333333332,
2021-01-01,16647.764705882353,
2021-02-01,16694.941176470587,
2021-03-01,17099.117647058825,
2021-04-01,18250.529411764706,
2021-05-01,20058.647058823528,
2021-06-01,19470.764705882353,
2021-07-01,19584.235294117647,
2021-08-01,20157.944444444445,
2021-09-01,20648.0,
2021-10-01,21082.833333333332,
2021-11-01,21811.63157894737,
2021-12-01,22002.444444444445,
2022-01-01,22517.166666666668,
2022-02-01,22770.5,
2022-03-01,23641.277777777777,
2022-04-01,24335.222222222223,
2022-05-01,25408.166666666668,
2022-06-01,25966.277777777777,
2022-07-01,26193.777777777777,
2022-08-01,26039.333333333332,
2022-09-01,25719.722222222223,
2022-10-01,25780.666666666668,
2022-11-01,25723.833333333332,
2022-12-01,26279.833333333332,
2023-01-01,26432.222222222223,
2023-02-01,26374.444444444445,
2023-03-01,26428.833333333332,
2023-04-01,26901.277777777777,
2023-05-01,27205.333333333332,
2023-06-01,27062.444444444445,
2023-07-01,27103.055555555555,
2023-08-01,26991.61111111111,
2023-09-01,26849.555555555555,
2023-10-01,26829.736842105263,
2023-11-01,26695.052631578947,
2023-12-01,26848.157894736843,
2024-01-01,26881.526315789473,
2024-02-01,26755.157894736843,
2024-03-01,26904.78947368421,
2024-04-01,27047.42105263158,
2024-05-01,26985.526315789473,
2024-06-01,27008.736842105263,
2024-07-01,27116.0,
2024-08-01,27201.57894736842,
2024-09-01,27316.526315789473,
2024-10-31,,27235.523
2024-11-30,,27252.773
2024-12-31,,27275.146
2025-01-31,,27298.234
2025-02-28,,27288.322
2025-03-31,,27312.262
2025-04-30,,27298.096
2025-05-31,,27326.95
2025-06-30,,27326.1
2025-07-31,,27347.562
2025-08-31,,27332.516
2025-09-30,,27345.879
