,granadilla,0
2013-01-01,2516.5333333333333,
2013-02-01,3191.5862068965516,
2013-03-01,2831.34375,
2013-04-01,2569.6,
2013-05-01,2892.516129032258,
2013-06-01,3531.0,
2013-07-01,2804.7,
2013-08-01,2746.4,
2013-09-01,2996.633333333333,
2013-10-01,2308.866666666667,
2013-11-01,2101.633333333333,
2013-12-01,2474.366666666667,
2014-01-01,2264.4,
2014-02-01,2620.5666666666666,
2014-03-01,3279.0,
2014-04-01,2443.266666666667,
2014-05-01,2300.366666666667,
2014-06-01,3215.6,
2014-07-01,2659.9,
2014-08-01,2257.8125,
2014-09-01,2673.25,
2014-10-01,2720.6666666666665,
2014-11-01,2413.4242424242425,
2014-12-01,2293.121212121212,
2015-01-01,2317.909090909091,
2015-02-01,2600.2727272727275,
2015-03-01,2536.3939393939395,
2015-04-01,2241.090909090909,
2015-05-01,2354.2727272727275,
2015-06-01,3021.176470588235,
2015-07-01,2784.470588235294,
2015-08-01,2573.176470588235,
2015-09-01,2884.6176470588234,
2015-10-01,3328.705882352941,
2015-11-01,2621.264705882353,
2015-12-01,2364.323529411765,
2016-01-01,3006.4411764705883,
2016-02-01,3669.970588235294,
2016-03-01,2817.2727272727275,
2016-04-01,2416.176470588235,
2016-05-01,3237.6451612903224,
2016-06-01,5385.304347826087,
2016-07-01,3628.967741935484,
2016-08-01,2602.878787878788,
2016-09-01,2911.5757575757575,
2016-10-01,2922.3333333333335,
2016-11-01,2680.7272727272725,
2016-12-01,2604.8,
2017-01-01,4028.7419354838707,
2017-02-01,4521.0,
2017-03-01,3688.625,
2017-04-01,3362.6875,
2017-05-01,3631.787878787879,
2017-06-01,3915.7272727272725,
2017-07-01,4872.551724137931,
2017-08-01,3841.151515151515,
2017-09-01,3225.0,
2017-10-01,3061.242424242424,
2017-11-01,2861.151515151515,
2017-12-01,3204.6363636363635,
2018-01-01,4807.785714285715,
2018-02-01,4845.3448275862065,
2018-03-01,4008.464285714286,
2018-04-01,3678.344827586207,
2018-05-01,4083.2413793103447,
2018-06-01,4434.137931034483,
2018-07-01,4674.666666666667,
2018-08-01,4306.71875,
2018-09-01,3553.9411764705883,
2018-10-01,3129.3030303030305,
2018-11-01,3008.848484848485,
2018-12-01,3445.90625,
2019-01-01,4082.40625,
2019-02-01,4873.827586206897,
2019-03-01,4212.214285714285,
2019-04-01,3132.3333333333335,
2019-05-01,3122.3939393939395,
2019-06-01,4699.931034482759,
2019-07-01,5111.612903225807,
2019-08-01,4031.1666666666665,
2019-09-01,3866.3,
2019-10-01,3556.866666666667,
2019-11-01,3457.733333333333,
2019-12-01,3996.8275862068967,
2020-01-01,4950.538461538462,
2020-02-01,4913.851851851852,
2020-03-01,3915.310344827586,
2020-04-01,3225.4285714285716,
2020-05-01,3099.1071428571427,
2020-06-01,4229.653846153846,
2020-07-01,5456.192307692308,
2020-08-01,3774.1785714285716,
2020-09-01,3320.5714285714284,
2020-10-01,3469.896551724138,
2020-11-01,3581.5,
2020-12-01,3132.206896551724,
2021-01-01,3923.6296296296296,
2021-02-01,4786.285714285715,
2021-03-01,6200.148148148148,
2021-04-01,4571.62962962963,
2021-05-01,4312.444444444444,
2021-06-01,4171.928571428572,
2021-07-01,4953.321428571428,
2021-08-01,4251.857142857143,
2021-09-01,3997.1071428571427,
2021-10-01,4188.642857142857,
2021-11-01,3818.5,
2021-12-01,4064.2758620689656,
2022-01-01,4853.724137931034,
2022-02-01,5794.482758620689,
2022-03-01,7492.111111111111,
2022-04-01,6284.0,
2022-05-01,5881.777777777777,
2022-06-01,7454.7692307692305,
2022-07-01,8310.576923076924,
2022-08-01,7085.961538461538,
2022-09-01,6088.961538461538,
2022-10-01,6089.44,
2022-11-01,5831.64,
2022-12-01,5672.28,
2023-01-01,6749.173913043478,
2023-02-01,7555.2,
2023-03-01,8505.96,
2023-04-01,7414.04,
2023-05-01,6234.84,
2023-06-01,6829.32,
2023-07-01,8332.8,
2023-08-01,6600.92,
2023-09-01,6175.375,
2023-10-01,5849.846153846154,
2023-11-01,5783.62962962963,
2023-12-01,6461.7307692307695,
2024-01-01,7878.153846153846,
2024-02-01,9322.384615384615,
2024-03-01,7599.346153846154,
2024-04-01,6403.923076923077,
2024-05-01,7146.4,
2024-06-01,8955.42857142857,
2024-07-01,9241.347826086956,
2024-08-01,8286.32,
2024-09-01,7590.125,
2024-10-31,,7665.4907
2024-11-30,,8013.115
2024-12-31,,8267.264
2025-01-31,,8254.57
2025-02-28,,8100.508
2025-03-31,,7980.5723
2025-04-30,,8003.693
2025-05-31,,8087.102
2025-06-30,,8137.64
2025-07-31,,8124.361
2025-08-31,,8091.4814
2025-09-30,,8074.506
